"CA","AUTONOMÍA","Superficie","Provincias","Capital (es)"
"01","Andalucía","87599.66","8","Sevilla"
"02","Aragón","47720.27","3","Zaragoza"
"03","Asturias (Principado de)","10603.57","1","Oviedo"
"04","Balears (Illes)","4991.68","1","Palma"
"05","Canarias","7446.95","2","Santa Cruz de Tenerife + Palmas de Gran Canaria (Las)"
"06","Cantabria","5321.39","1","Santander"
"07","Castilla y León","94224.03","9","no tiene oficialmente"
"08","Castilla-La Mancha","79461.85","5","Toledo"
"09","Cataluña","32113.25","4","Barcelona"
"10","Comunidad Valenciana","23260.15","3","Valencia / Valenciá"
"11","Extremadura","41634.58","2","Mérida"
"12","Galicia","29573.96","4","Santiago de Compostela"
"13","Madrid (Comunidad de)","8027.92","1","Madrid"
"14","Murcia (Región de)","11313.98","1","Murcia"
"15","Navarra (Comunidad Foral de)","10390.72","1","Pamplona / Iruña"
"16","País Vasco","7234.83","3","Vitoria-Gasteiz"
"17","Rioja (La)","5045.27","1","Logroño"
"18","Ceuta","19.48","1","Ceuta"
"19","Melilla","13.41","1","Melilla"
"","ESPAÑA:","505996.95","52","Madrid"
"","","","",""
"","autor: Francisco.RuizG@uclm.es","","",""
"","fuente: www.ine.es","","",""
"","km2: MPT, registro de entidades locales","","",""
